"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25084","Inactivate Contact Profile","flexiquote-csr","2026-06-17","passed","2026-06-17","Smoke: Tables > Contact Profile @smoke","tests\smoke\tables\contactProfile.csr.spec.ts","",""
"","43472","Create Quote with Existing Customer","flexiquote-csr","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.csr.spec.ts","",""
"","22955","Create a new Contact Profile","flexiquote-csr","2026-06-17","passed","2026-06-17","Smoke: Tables > Contact Profile @smoke","tests\smoke\tables\contactProfile.csr.spec.ts","",""
"","21420","Create a new Quote Template","flexiquote-csr","2026-06-17","passed","2026-06-17","Create Quote Template","tests\smoke\createQuoteTemplate.csr.spec.ts","",""
"","37916","Create Quote with New Customer","flexiquote-user","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.spec.ts","",""
"","22493","Create a Misc Quote with a random customer","flexiquote-user","2026-06-17","passed","2026-06-17","Create Misc Quote","tests\smoke\createMiscQuote.spec.ts","",""
"","22313","Delete the created Quote Template","flexiquote-csr","2026-06-17","passed","2026-06-17","Create Quote Template","tests\smoke\createQuoteTemplate.csr.spec.ts","",""
"","42926","Create Quote with Existing Customer","flexiquote-admin","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.admin.spec.ts","",""
"","21805","Repairer admin sign in","admin-setup","2026-06-17","passed","2026-06-17","","auth-setup\auth.admin.setup.ts","",""
"","24387","CSR Sign In","csr-setup","2026-06-17","passed","2026-06-17","","auth-setup\auth.csr.setup.ts","",""
"","19139","Navigate to Contact Profile listing page","flexiquote-csr","2026-06-17","passed","2026-06-17","Smoke: Tables > Contact Profile @smoke","tests\smoke\tables\contactProfile.csr.spec.ts","",""
"","44349","Create Quote with New Customer","flexiquote-csr","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.csr.spec.ts","",""
"","33509","Create Quote with Existing Customer","flexiquote-user","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.spec.ts","",""
"","24053","Regular user sign in","user-setup","2026-06-17","passed","2026-06-17","","auth-setup\auth.user.setup.ts","",""
"","42702","Create Quote with New Customer","flexiquote-admin","2026-06-17","passed","2026-06-17","Create Quote","tests\smoke\createQuote.admin.spec.ts","",""
