"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Tables Options Flow","0","","1","0","New Vendor Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Item Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Quick Item Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Customer Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Contact Profile Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Insurer Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Vehicle Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Unscheduled Vehicle Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Other Labour Creation Flow","0"
"0","Tables Options Flow","0","","1","0","New Recurring Remarks Creation Flow","0"
